Budget Items,Seller,Quantity,Unit Price,Taxes,Shipping,Projected Sale Expenses After Taxes & Shipping
3-Axis Digital Acceleration of Gravity Tilt Module with IIC SPI Transmission for Arduino,https://www.amazon.com/dp/B09S633YTW?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,3,$8.59,0,$0.00,$8.59
12 AWG Gauge Silicone Wire Electrical Cable,https://www.amazon.com/dp/B0C5QVHKFC?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$17.99,0,0,$17.99
22 AWG Stranded Wire Spool 10ft Each 6 Colors,https://www.amazon.com/dp/B089CQHRDT?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$12.29,$0.00,0,$12.29
2pcs 22mm 2 NC Red Mushroom Emergency Stop Push Button Switch AC 660V 10A,https://www.amazon.com/dp/B07R8PTTDX?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,2,$11.99,$11.20,$0,$22.99
STEPPERONLINE Nema 23 Stepper Motor 2.4Nm(339.79oz.in) 4.0A 8mm Shaft 57x57x82mm 4 Wires,https://www.amazon.com/dp/B091C37FJ2?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$25.99,0,0,25.99
"ACEIRMC DM556 CNC Digital Stepper Driver - 2-Phase Stepper Motor Controller, 20-50V DC Max 5.6A, 128 Subdivision for Nema 23, 24 and Nema 34 Motors (4pcs)",https://www.amazon.com/dp/B0CGX8BBBN?ref=ppx_yo2ov_dt_b_fed_asin_title,1,45.69,0,0,45.69
Teensy 4.1 (with Pins),https://www.amazon.com/dp/B08CTM3279?ref=ppx_yo2ov_dt_b_fed_asin_title,1,43.22,0,0,43.22
5 Axis grblHAL CNC motion controller for Teensy 4.1 - T41U5XBB. Board + Assembly Kit + Ethernet Kit,https://shop.app/products/9242345111767/5-axis-grblhal-cnc-motion-controller-for-teensy-4-1-t41u5xbb-board-assembly?variantId=48494007812311,1,59.99,0,7.5,67.49
28 Values Electrolytic Capacitor Assortment Kit from 0.1uF to 4700uF,https://www.amazon.com/dp/B0G5X62C69?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,9.99,0,0,9.99
BOJACK 5x20 mm 10 A 10 amp,https://www.amazon.com/dp/B07ZN35DHH?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,5.99,0,0,5.99
